n;k;Time(milliseconds);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
1;33,3;0,2;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,4
2;0,2;0,3;0,4;0,4;0,4;0,4;0,4;0,5;0,5;0,5;0,5;0,6;0,6;0,7;0,7;0,7;0,7;0,8;0,8;0,9;0,9;0,9;0,9;1;1;1;1;1,1;1,1;1,1
3;0,3;0,3;0,5;0,6;0,6;0,6;0,7;1,1;0,9;1;1,1;1,2;1,2;1,2;1,3;1,4;1,5;1,5;1,6;1,6;1,7;2;1,9;2;2;2,1;2,1;2,3;2,4;2,4
4;0,4;0,6;0,7;0,8;1;1;1,1;1,5;1,6;1,7;1,8;2;2;2,1;2,3;2,5;2,7;2,6;2,9;3,3;3,1;3,2;3,4;3,5;3,5;3,7;3,9;4;3,9;4,3
5;0,5;0,7;0,9;1,4;1,3;1,5;1,8;2,2;2,4;2,5;2,9;2,9;3,1;3,2;3,4;3,6;3,8;4;4,2;4,4;4,6;4,7;4,9;5,1;5,3;5,7;5,6;5,8;6;6,2
6;0,6;1;1,2;1,5;2;2,1;2,3;3;3,3;3,5;3,8;4,1;4,3;4,9;4,8;5,1;5,5;5,6;6;6,5;6,8;6,8;7;7,3;7,5;7,8;8,5;8,8;8,6;8,9
7;0,9;1,3;1,6;2;2,3;2,7;3,1;4,2;4,4;4,7;5;5,4;5,8;6,1;7;6,9;7,3;9;8,5;8,5;8,6;8,9;10;9,8;10,1;10,7;11,2;11,6;11,6;13,2
8;1;1,6;2,1;2,5;3,1;3,6;4,1;5,1;5,8;6,3;6,8;7,3;7,8;8,3;8,8;8,9;9,4;10,3;10,2;11,4;12;12;12,2;12,7;13,6;13,6;14,4;14,7;15,1;15,5
9;1,3;2;2,5;3,4;3,7;4,3;5,3;6,4;7;7,8;8,2;8,7;9,6;10,8;10,6;11,6;11,7;12,4;13;13,7;14,3;15,1;15,5;16;16,5;17,7;18;18,4;18,9;20
10;1,5;2,3;3,1;3,7;5;5,2;6,5;7,9;8,9;9,6;10,1;11,8;11,6;12,2;13,3;14,4;15,2;15,2;15,9;18,5;18,4;18,3;19;19,7;20,4;27,3;24,2;23,9;24,7;24,1
11;1,8;2,7;3,6;4,9;5,4;6,6;7,5;9,5;10,8;11,3;12,7;13,6;13,9;15,8;15,6;16,6;17,6;18,7;19,3;20,2;21,1;23,4;24,4;23,8;25,4;26,9;27,4;54,4;28,1;30,6
12;2;3,2;4,3;5,3;6,4;7,4;8,5;11,6;12,3;13,3;29,8;21,1;20,6;17,6;20,1;19,7;21,6;24,8;24,3;26,7;25,1;28,7;27,3;28,3;52,2;30,8;34,8;32,8;34,5;37,2
13;2,3;3,8;5;6,2;7,4;8,6;9,9;13,1;14,5;15,9;16,8;18,3;20,1;20,6;21,6;23,3;24,4;25,7;26,9;28,3;30,3;30,7;32,6;33,5;34,5;41,2;40,3;40,9;39,6;40,7
14;2,7;4,2;5,6;7;8,5;10;13,2;15,3;16,5;17,9;25,1;21;22,4;23,8;25,3;26,7;28,3;29,7;33,3;32,5;33,7;35,1;39,8;38;42,1;41,1;42,5;44,7;45,6;46,8
15;3;4,7;6,3;8;10,1;11,3;13;17,5;18,8;20,5;22,3;23,8;25,6;27;29,1;30,3;32,1;33,8;35,4;37,1;38,9;40,7;42,1;44,2;45,7;47,4;48,8;51,4;52,1;53,9
16;3,4;5,5;7,5;9,1;11,4;13,3;14,7;20;22;23,3;25,3;27,1;29;30,9;32,9;34,8;36,6;38,7;40,2;42,1;45,3;46,4;49,1;50,1;52,1;53,9;56;58;59,6;63
17;3,8;6;8,7;10,2;12,3;14,5;16,5;22;24,1;26,1;28,4;30,5;32,8;34,9;37,1;39,2;42,8;43,8;45,4;51,5;52,8;53;61,3;60,3;59;65,8;64,2;69,5;68;74,6
18;4,3;6,9;9,3;12,2;14,8;17;19,9;26,1;28,4;29,6;32,2;34,6;37,5;39,5;42,1;44,1;46,7;49,1;51,6;53,8;56,2;58,5;61;63,6;66,1;68,8;83,6;74,9;76,7;79,5
19;6;7,3;10,3;12,9;17,2;18,6;20,7;27,5;32,6;33,2;36,9;50,8;42,3;45,1;46,8;53,2;53,1;56,1;63,8;62;62,5;67,8;86,7;71,8;74,2;77,2;82,7;82,3;87;89,2
20;6,4;9,7;11,3;14,1;18,7;20,3;26,9;31,2;33,7;36,4;40,6;42,2;45,3;48,6;51,3;54,9;57,6;60,4;63,3;66,5;77,2;73,5;75,4;77,8;80,9;83,8;86,9;93,8;93,2;96,3
21;5,8;9,3;12,5;15,6;18,8;22;25,3;33,7;42,2;39,5;42,9;45,9;51,5;53,6;58,6;59,5;63;66,4;69,5;73,3;76,4;84,5;82,4;85,8;89,1;92,6;95,9;98,7;101,9;104,8
22;6,3;10,1;13,6;17;20,5;28;27,6;38,2;40,9;44,5;48,4;51,2;54,5;58,2;61,7;65,4;69,5;72,6;76,5;81,3;83,5;87;93,7;94,5;97,7;101,5;104,6;108,5;111,7;115,8
23;6,8;11;14,8;19,1;22,4;26,2;30,1;40;43,6;47,5;60,8;60,2;63,2;74,4;68,1;73,8;82,6;98,9;103,8;91,6;93,7;97,8;106,2;106,4;113;113,6;114,6;119;123;127,4
24;7,3;12,3;16,2;20,3;24,5;28,6;33,4;43,7;48,6;52,8;57,2;61;65;69,8;73,3;77,8;81,7;86,5;90,6;94,9;100,6;105;108,2;113;117;121,7;126,1;137,8;134,4;139,2
25;8;13;17,5;22;26,5;31;35,8;48,2;51,7;56,4;61,3;66,3;72,1;75,8;84,1;85,7;88,6;93,6;99;103;108,8;113,3;117,7;123;128,4;133,1;136,6;141;145,4;153,8
26;8,7;14;19;23,8;28,9;33,7;38,5;51,1;56,2;62,3;66,2;71,1;76,4;82;87,1;91,7;102,6;102,3;106,5;112,6;118;122,3;126,6;132,7;137,2;142;147,6;153,4;165,7;162,4
27;9,2;15,5;20,4;26,3;30,9;36,2;41,6;55,4;61,1;66,3;72;77;82,6;88,6;93,1;99;104,5;110,3;115,4;121,1;126,6;130,6;135,9;141,1;147,2;154,3;158,4;163,7;170,9;175,2
28;10;16,1;22,2;28;33;38,6;44,3;59,8;65,2;71,7;77,5;84,1;90,1;94,4;100,5;106;120,1;118,8;125,3;129,1;135,6;141,8;147;159,6;169,4;175,2;173;177,1;180,6;190,2
29;13,6;18,1;24,1;29;36,6;43,2;50,5;66,2;70,3;78;82,7;88,4;95,6;101,3;111,8;113,3;120,1;125,8;133,7;138,1;144,9;150,6;156,4;163,4;179,4;179,2;183,7;189,4;195,3;202,4
30;11,2;18,3;25,1;32,2;38,7;44,5;51,2;69;76,8;84,9;88,8;94,2;102,1;108;113,3;121,8;128,1;141,5;144,1;147,6;182,8;173,3;167,5;174,6;181,2;187,9;194,4;202,2;208,8;216,2
